head,n_rows,num_classes,unique_true_classes,unique_pred_classes,coverage_ratio,acc,V_oracle,V_mid,V_full,dV_LOS,dV_D,abs_dV_D,dV_total,js_LOS,js_D,js_total,support_min,support_max,run_name,run_type,los_scheme_eval,native_los_scheme
SERVICES_D,278828,8,8,8,1.0,0.9837498386101826,0.29014284998123946,0.4504150798395009,0.460061713862089,0.16027222985826145,0.009646634022588085,0.009646634022588085,0.16991886388084954,0.08391552046924539,0.0011219620615047828,0.09761298162939942,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
EMPLOY_D,278828,5,5,5,1.0,0.7872846342548094,0.11896370062936193,0.14899145317200446,0.1790870444595889,0.030027752542642533,0.030095591287584433,0.030095591287584433,0.060123343830226966,0.011116776264161526,0.004147857335600752,0.02032108398597786,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
LIVARAG_D,278828,4,4,4,1.0,0.8501585206650695,0.13843276572641683,0.24364132973445302,0.26156219548674114,0.10520856400803619,0.01792086575228813,0.01792086575228813,0.12312942976032432,0.019614867258621188,0.0014506535446246686,0.02584973358027963,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
ARRESTS_D,278828,4,4,4,1.0,0.8756401796089346,0.053967696139385714,0.10140635654884107,0.11302248479244799,0.04743866040945536,0.011616128243606916,0.011616128243606916,0.059054788653062275,0.011352771733316783,0.005432638491824574,0.019900326652189604,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
DETNLF_D,278828,6,6,6,1.0,0.8921055274219232,0.0595102451816982,0.10197166238103805,0.12320283289557418,0.04246141719933985,0.02123117051453613,0.02123117051453613,0.06369258771387598,0.004512543962086664,0.005336436991509462,0.008574292378064641,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SUB1_D,278828,20,20,20,1.0,0.884907541566844,0.09096628629251499,0.16000839812980328,0.20051153398472094,0.06904211183728828,0.04050313585491766,0.04050313585491766,0.10954524769220594,0.026154097740279908,0.009605342449971733,0.03797463319587848,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SUB2_D,278828,20,20,20,1.0,0.9048158721505731,0.05135586720684965,0.10227831893333378,0.1111375424548525,0.05092245172648413,0.008859223521518717,0.008859223521518717,0.05978167524800285,0.015361939690854311,0.001480240078590158,0.018150981442731914,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
SUB3_D,278828,20,20,20,1.0,0.9597744846285166,0.05263631391436538,0.10763731957650383,0.1099628796271981,0.05500100566213845,0.0023255600506942725,0.0023255600506942725,0.05732656571283272,0.011181467497678574,0.0006936972048906504,0.013154170857926435,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
FREQ1_D,278828,4,4,4,1.0,0.8091296426470799,0.17500269901455076,0.21290380145340052,0.23774594436296143,0.037901102438849754,0.02484214290956091,0.02484214290956091,0.06274324534841066,0.012546414086642803,0.005645208240445026,0.020392427447064036,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
FREQ2_D,278828,4,4,3,1.0,0.9510128107650595,0.05097608015180185,0.08261946410149307,0.11299424779743429,0.03164338394969122,0.030374783695941224,0.030374783695941224,0.06201816764563244,0.0030025930780770934,0.0004872555756267205,0.003748370384158225,2132.0,60895.0,id26_9bin_breakdown,breakdown9_target,breakdown9,breakdown9
