run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count
id26_9bin_breakdown,breakdown9,0,1,0,1,35500
id26_9bin_breakdown,breakdown9,0,1,1,2-7,5531
id26_9bin_breakdown,breakdown9,0,1,2,8-14,131
id26_9bin_breakdown,breakdown9,0,1,3,15-21,78
id26_9bin_breakdown,breakdown9,0,1,4,22-28,416
id26_9bin_breakdown,breakdown9,0,1,5,29-31,302
id26_9bin_breakdown,breakdown9,0,1,6,32-33,987
id26_9bin_breakdown,breakdown9,0,1,7,34-35,742
id26_9bin_breakdown,breakdown9,0,1,8,36-37,1460
id26_9bin_breakdown,breakdown9,1,2-7,0,1,5207
id26_9bin_breakdown,breakdown9,1,2-7,1,2-7,36430
id26_9bin_breakdown,breakdown9,1,2-7,2,8-14,606
id26_9bin_breakdown,breakdown9,1,2-7,3,15-21,362
id26_9bin_breakdown,breakdown9,1,2-7,4,22-28,1947
id26_9bin_breakdown,breakdown9,1,2-7,5,29-31,1189
id26_9bin_breakdown,breakdown9,1,2-7,6,32-33,2822
id26_9bin_breakdown,breakdown9,1,2-7,7,34-35,1336
id26_9bin_breakdown,breakdown9,1,2-7,8,36-37,1985
id26_9bin_breakdown,breakdown9,2,8-14,0,1,2821
id26_9bin_breakdown,breakdown9,2,8-14,1,2-7,6067
id26_9bin_breakdown,breakdown9,2,8-14,2,8-14,1036
id26_9bin_breakdown,breakdown9,2,8-14,3,15-21,349
id26_9bin_breakdown,breakdown9,2,8-14,4,22-28,1889
id26_9bin_breakdown,breakdown9,2,8-14,5,29-31,1031
id26_9bin_breakdown,breakdown9,2,8-14,6,32-33,2690
id26_9bin_breakdown,breakdown9,2,8-14,7,34-35,1414
id26_9bin_breakdown,breakdown9,2,8-14,8,36-37,1905
id26_9bin_breakdown,breakdown9,3,15-21,0,1,1988
id26_9bin_breakdown,breakdown9,3,15-21,1,2-7,2065
id26_9bin_breakdown,breakdown9,3,15-21,2,8-14,603
id26_9bin_breakdown,breakdown9,3,15-21,3,15-21,774
id26_9bin_breakdown,breakdown9,3,15-21,4,22-28,1926
id26_9bin_breakdown,breakdown9,3,15-21,5,29-31,930
id26_9bin_breakdown,breakdown9,3,15-21,6,32-33,2526
id26_9bin_breakdown,breakdown9,3,15-21,7,34-35,1292
id26_9bin_breakdown,breakdown9,3,15-21,8,36-37,1849
