run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,row_pct
id26_9bin_breakdown,breakdown9,0,1,0,1,0.7863202427625313
id26_9bin_breakdown,breakdown9,0,1,1,2-7,0.1225109088090017
id26_9bin_breakdown,breakdown9,0,1,2,8-14,0.002901632445123707
id26_9bin_breakdown,breakdown9,0,1,3,15-21,0.0017276895474782378
id26_9bin_breakdown,breakdown9,0,1,4,22-28,0.009214344253217268
id26_9bin_breakdown,breakdown9,0,1,5,29-31,0.006689259529979843
id26_9bin_breakdown,breakdown9,0,1,6,32-33,0.0218619177353977
id26_9bin_breakdown,breakdown9,0,1,7,34-35,0.01643520056703657
id26_9bin_breakdown,breakdown9,0,1,8,36-37,0.03233880435023368
id26_9bin_breakdown,breakdown9,1,2-7,0,1,0.10035849202066148
id26_9bin_breakdown,breakdown9,1,2-7,1,2-7,0.7021432426181482
id26_9bin_breakdown,breakdown9,1,2-7,2,8-14,0.011679901318325496
id26_9bin_breakdown,breakdown9,1,2-7,3,15-21,0.0069771027677125895
id26_9bin_breakdown,breakdown9,1,2-7,4,22-28,0.037526019582144785
id26_9bin_breakdown,breakdown9,1,2-7,5,29-31,0.02291650605196207
id26_9bin_breakdown,breakdown9,1,2-7,6,32-33,0.05439056356487549
id26_9bin_breakdown,breakdown9,1,2-7,7,34-35,0.02574974944106083
id26_9bin_breakdown,breakdown9,1,2-7,8,36-37,0.03825842263510909
id26_9bin_breakdown,breakdown9,2,8-14,0,1,0.14691178002291427
id26_9bin_breakdown,breakdown9,2,8-14,1,2-7,0.3159566711800854
id26_9bin_breakdown,breakdown9,2,8-14,2,8-14,0.053952713259035515
id26_9bin_breakdown,breakdown9,2,8-14,3,15-21,0.018175190084366213
id26_9bin_breakdown,breakdown9,2,8-14,4,22-28,0.09837516925320279
id26_9bin_breakdown,breakdown9,2,8-14,5,29-31,0.05369232371627956
id26_9bin_breakdown,breakdown9,2,8-14,6,32-33,0.14008957400270805
id26_9bin_breakdown,breakdown9,2,8-14,7,34-35,0.07363816269138632
id26_9bin_breakdown,breakdown9,2,8-14,8,36-37,0.09920841579002188
id26_9bin_breakdown,breakdown9,3,15-21,0,1,0.14247832007453595
id26_9bin_breakdown,breakdown9,3,15-21,1,2-7,0.14799684655629614
id26_9bin_breakdown,breakdown9,3,15-21,2,8-14,0.04321651257794023
id26_9bin_breakdown,breakdown9,3,15-21,3,15-21,0.05547194151795313
id26_9bin_breakdown,breakdown9,3,15-21,4,22-28,0.13803483121909266
id26_9bin_breakdown,breakdown9,3,15-21,5,29-31,0.0666523328316491
id26_9bin_breakdown,breakdown9,3,15-21,6,32-33,0.18103633627176952
id26_9bin_breakdown,breakdown9,3,15-21,7,34-35,0.0925965742134308
id26_9bin_breakdown,breakdown9,3,15-21,8,36-37,0.13251630473733247
id26_9bin_breakdown,breakdown9,4,22-28,0,1,0.11422944362383063
id26_9bin_breakdown,breakdown9,4,22-28,1,2-7,0.10690546528803545
id26_9bin_breakdown,breakdown9,4,22-28,2,8-14,0.026464795667159036
id26_9bin_breakdown,breakdown9,4,22-28,3,15-21,0.015386509108813392
id26_9bin_breakdown,breakdown9,4,22-28,4,22-28,0.30785327424913833
id26_9bin_breakdown,breakdown9,4,22-28,5,29-31,0.10284342688330872
id26_9bin_breakdown,breakdown9,4,22-28,6,32-33,0.1474027572624323
id26_9bin_breakdown,breakdown9,4,22-28,7,34-35,0.07539389463318562
id26_9bin_breakdown,breakdown9,4,22-28,8,36-37,0.1035204332840965
id26_9bin_breakdown,breakdown9,5,29-31,0,1,0.13640123644912708
id26_9bin_breakdown,breakdown9,5,29-31,1,2-7,0.0647394314075493
id26_9bin_breakdown,breakdown9,5,29-31,2,8-14,0.005746876224476468
id26_9bin_breakdown,breakdown9,5,29-31,3,15-21,0.0029169750533327527
id26_9bin_breakdown,breakdown9,5,29-31,4,22-28,0.07919369585092952
id26_9bin_breakdown,breakdown9,5,29-31,5,29-31,0.14432495972832948
id26_9bin_breakdown,breakdown9,5,29-31,6,32-33,0.2522965736427359
id26_9bin_breakdown,breakdown9,5,29-31,7,34-35,0.1417562802037529
id26_9bin_breakdown,breakdown9,5,29-31,8,36-37,0.17262397143976665
id26_9bin_breakdown,breakdown9,6,32-33,0,1,0.1293858393909908
id26_9bin_breakdown,breakdown9,6,32-33,1,2-7,0.03251101825882892
id26_9bin_breakdown,breakdown9,6,32-33,2,8-14,0.000973041039436781
id26_9bin_breakdown,breakdown9,6,32-33,3,15-21,0.001087516455841108
id26_9bin_breakdown,breakdown9,6,32-33,4,22-28,0.012878484345486807
id26_9bin_breakdown,breakdown9,6,32-33,5,29-31,0.048995478221052026
id26_9bin_breakdown,breakdown9,6,32-33,6,32-33,0.3200160265582966
id26_9bin_breakdown,breakdown9,6,32-33,7,34-35,0.21386869669738423
id26_9bin_breakdown,breakdown9,6,32-33,8,36-37,0.24028389903268274
id26_9bin_breakdown,breakdown9,7,34-35,0,1,0.09313601127554616
