head,n_rows,num_classes,unique_true_classes,unique_pred_classes,coverage_ratio,acc,V_oracle,V_mid,V_full,dV_LOS,dV_D,abs_dV_D,dV_total,js_LOS,js_D,js_total,support_min,support_max,run_name,run_type,split,los_scheme,source,source_path,support,macro_f1
SERVICES_D,111531,8,8,8,1.0,0.9828836825635922,0.3287045788803675,0.5031639255921296,0.5109103125830039,0.1744593467117621,0.0077463869908742655,0.0077463869908742655,0.18220573370263637,0.08739731371699706,0.0007477318231724952,0.09383573117180907,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.9566811721178741
EMPLOY_D,111531,5,5,5,1.0,0.7838986470129381,0.11029402250798626,0.12307539317598143,0.15973248059369702,0.012781370667995173,0.03665708741771559,0.03665708741771559,0.04943845808571076,0.011016451207928287,0.0046127016552031455,0.020425917108015834,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7578401327456694
LIVARAG_D,111531,4,4,4,1.0,0.8465180084460823,0.13189273517641442,0.19915784665810066,0.20369088271600172,0.06726511148168623,0.004533036057901063,0.004533036057901063,0.0717981475395873,0.023185041138785552,0.0013823533851284407,0.028906809416779894,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8045043567381969
ARRESTS_D,111531,4,4,4,1.0,0.8733984273430705,0.05029502679248962,0.08472686318575044,0.08681316458467707,0.03443183639326082,0.0020863013989266266,0.0020863013989266266,0.03651813779218745,0.011959604671147348,0.006212175658858284,0.01797760252121399,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.6322358862513436
DETNLF_D,111531,6,6,6,1.0,0.889914014937551,0.05422813365718867,0.09168054870651554,0.11292729073506223,0.03745241504932687,0.021246742028546692,0.021246742028546692,0.058699157077873564,0.007148296590560599,0.00493834413370875,0.01213696025332285,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7751981796124703
SUB1_D,111531,20,20,20,1.0,0.8830280370479956,0.10155859943039741,0.16270260722983504,0.21867500845300145,0.06114400779943763,0.05597240122316641,0.05597240122316641,0.11711640902260403,0.02909297427686486,0.009911237283152057,0.040575421378954805,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8164442619401905
SUB2_D,111531,20,20,20,1.0,0.903443885556482,0.06213971126005551,0.11280353066653469,0.12319757751972754,0.050663819406479176,0.010394046853192854,0.010394046853192854,0.06105786625967203,0.01857415167167593,0.0010413332463802645,0.02030832764750138,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8501930534512383
SUB3_D,111531,20,20,20,1.0,0.959024845110328,0.06440923898361642,0.10372517577901011,0.10359685106846184,0.03931593679539369,-0.0001283247105482721,0.0001283247105482721,0.03918761208484542,0.012077120220276903,0.0005008566566879988,0.01297496905476049,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8635931161194442
FREQ1_D,111531,4,4,4,1.0,0.7992576055087823,0.1739970118490584,0.19680738169867457,0.22519056473861157,0.02281036984961618,0.028383183039937004,0.028383183039937004,0.051193552889553184,0.017052598537552626,0.007887499013953145,0.032581720080745426,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7769118729308457
FREQ2_D,111531,4,4,3,1.0,0.9497718123212381,0.04761080488075351,0.08337476947053479,0.11205797355331806,0.03576396458978128,0.02868320408278327,0.02868320408278327,0.06444716867256456,0.009004454896360757,0.00036728021551098026,0.009420162686953351,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.6837226532958881
