run_name,split,los_basis,los_scheme,los_bin,bin_label,support,positive_count,positive_rate,acc,precision,recall,f1,auc,predicted_positive_rate,status,source,delta_recall_vs_baseline,long_stay_recall_mean,late_long_stay_recall_mean
baseline_id26,valid,true_los_bin,coarse6,5.0,29-37,52581.0,23156.0,0.44038721211083853,0.7518495273958274,0.805895170076262,0.5750129556054586,0.671152779878018,0.8408903806812587,0.31421996538673663,aggregate_los_group_metrics,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/diagnostics/forecasted_gnn_performance/los_group_metrics.csv,,,
baseline_id26,valid,true_los_bin,breakdown9,5.0,29-31,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,valid,true_los_bin,breakdown9,6.0,32-33,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,valid,true_los_bin,breakdown9,7.0,34-35,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,valid,true_los_bin,breakdown9,8.0,36-37,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,test,true_los_bin,coarse6,5.0,29-37,132094.0,58351.0,0.44173845897618363,0.7529108059412237,0.8106514595012565,0.5749344484241915,0.6727427683360906,0.8442771834449019,0.3132920496010417,aggregate_los_group_metrics,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/diagnostics/forecasted_gnn_performance/los_group_metrics.csv,,,
baseline_id26,test,true_los_bin,breakdown9,5.0,29-31,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,test,true_los_bin,breakdown9,6.0,32-33,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,test,true_los_bin,breakdown9,7.0,34-35,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,test,true_los_bin,breakdown9,8.0,36-37,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,valid,true_los_bin,coarse6,5.0,29-37,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,valid,true_los_bin,breakdown9,5.0,29-31,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,valid,true_los_bin,breakdown9,6.0,32-33,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,valid,true_los_bin,breakdown9,7.0,34-35,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,valid,true_los_bin,breakdown9,8.0,36-37,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,test,true_los_bin,coarse6,5.0,29-37,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,test,true_los_bin,breakdown9,5.0,29-31,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,test,true_los_bin,breakdown9,6.0,32-33,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,test,true_los_bin,breakdown9,7.0,34-35,,,,,,,,,,missing_outcome_predictions,missing,,,
struct_top6_l001,test,true_los_bin,breakdown9,8.0,36-37,,,,,,,,,,missing_outcome_predictions,missing,,,
baseline_id26,test,,,,summary,,,,,,,,,,unavailable,,,,
baseline_id26,valid,,,,summary,,,,,,,,,,unavailable,,,,
struct_top6_l001,test,,,,summary,,,,,,,,,,unavailable,,,,
struct_top6_l001,valid,,,,summary,,,,,,,,,,unavailable,,,,
