run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count,split,source,row_pct
baseline_id26,coarse6,0,1,0,1,13038,valid,joint_prediction_csv,0.7186638738838055
baseline_id26,coarse6,0,1,1,2-7,2176,valid,joint_prediction_csv,0.11994267445706096
baseline_id26,coarse6,0,1,2,8-14,30,valid,joint_prediction_csv,0.001653621430933745
baseline_id26,coarse6,0,1,3,15-21,20,valid,joint_prediction_csv,0.0011024142872891633
baseline_id26,coarse6,0,1,4,22-28,214,valid,joint_prediction_csv,0.011795832873994046
baseline_id26,coarse6,0,1,5,29-37,2664,valid,joint_prediction_csv,0.14684158306691655
baseline_id26,coarse6,1,2-7,0,1,1767,valid,joint_prediction_csv,0.08513201002119869
baseline_id26,coarse6,1,2-7,1,2-7,13842,valid,joint_prediction_csv,0.6668915012526498
baseline_id26,coarse6,1,2-7,2,8-14,116,valid,joint_prediction_csv,0.005588745423010214
baseline_id26,coarse6,1,2-7,3,15-21,96,valid,joint_prediction_csv,0.0046251686259394876
baseline_id26,coarse6,1,2-7,4,22-28,915,valid,joint_prediction_csv,0.04408363846598574
baseline_id26,coarse6,1,2-7,5,29-37,4020,valid,joint_prediction_csv,0.19367893621121604
baseline_id26,coarse6,2,8-14,0,1,871,valid,joint_prediction_csv,0.11527263102170461
baseline_id26,coarse6,2,8-14,1,2-7,2108,valid,joint_prediction_csv,0.27898358920063526
baseline_id26,coarse6,2,8-14,2,8-14,192,valid,joint_prediction_csv,0.02541026998411858
baseline_id26,coarse6,2,8-14,3,15-21,104,valid,joint_prediction_csv,0.013763896241397565
baseline_id26,coarse6,2,8-14,4,22-28,853,valid,joint_prediction_csv,0.11289041821069348
baseline_id26,coarse6,2,8-14,5,29-37,3428,valid,joint_prediction_csv,0.4536791953414505
baseline_id26,coarse6,3,15-21,0,1,659,valid,joint_prediction_csv,0.11763655837201
baseline_id26,coarse6,3,15-21,1,2-7,581,valid,joint_prediction_csv,0.10371295965726526
baseline_id26,coarse6,3,15-21,2,8-14,89,valid,joint_prediction_csv,0.0158871831488754
