head,n_rows,num_classes,unique_true_classes,unique_pred_classes,coverage_ratio,acc,V_oracle,V_mid,V_full,dV_LOS,dV_D,abs_dV_D,dV_total,js_LOS,js_D,js_total,support_min,support_max,run_name,run_type,split,los_scheme,source,source_path,support,macro_f1
EMPLOY_D,111531,5,5,5,1.0,0.7838986470129381,0.11029402250798626,0.12307539317598143,0.15973248059369702,0.012781370667995173,0.03665708741771559,0.03665708741771559,0.04943845808571076,0.011016451207928287,0.0046127016552031455,0.020425917108015834,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7578401327456694
DETNLF_D,111531,6,6,6,1.0,0.889914014937551,0.05422813365718867,0.09168054870651554,0.11292729073506223,0.03745241504932687,0.021246742028546692,0.021246742028546692,0.058699157077873564,0.007148296590560599,0.00493834413370875,0.01213696025332285,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7751981796124703
SUB1_D,111531,20,20,20,1.0,0.8830280370479956,0.10155859943039741,0.16270260722983504,0.21867500845300145,0.06114400779943763,0.05597240122316641,0.05597240122316641,0.11711640902260403,0.02909297427686486,0.009911237283152057,0.040575421378954805,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8164442619401905
FREQ1_D,111531,4,4,4,1.0,0.7992576055087823,0.1739970118490584,0.19680738169867457,0.22519056473861157,0.02281036984961618,0.028383183039937004,0.028383183039937004,0.051193552889553184,0.017052598537552626,0.007887499013953145,0.032581720080745426,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7769118729308457
FREQ2_D,111531,4,4,3,1.0,0.9497718123212381,0.04761080488075351,0.08337476947053479,0.11205797355331806,0.03576396458978128,0.02868320408278327,0.02868320408278327,0.06444716867256456,0.009004454896360757,0.00036728021551098026,0.009420162686953351,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.6837226532958881
FREQ_ATND_SELF_HELP_D,111531,6,6,6,1.0,0.7466713290475294,0.10738758652781087,0.15240281590299834,0.22649598748229433,0.04501522937518747,0.07409317157929599,0.07409317157929599,0.11910840095448345,0.022460956366640035,0.02290682516469014,0.05527023781337829,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.5811048511733953
EMPLOY_D,278828,5,5,5,1.0,0.7829809057913839,0.11190777492384021,0.12424359406717461,0.15753700809128943,0.012335819143334398,0.033293414024114815,0.033293414024114815,0.04562923316744921,0.01025483760153189,0.004444987356257364,0.018792420044861615,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.755124680891435
DETNLF_D,278828,6,6,6,1.0,0.8896237106746812,0.05386808472596889,0.09071454300498348,0.11128992697359119,0.03684645827901459,0.02057538396860771,0.02057538396860771,0.0574218422476223,0.0071236495524701245,0.004775120308605576,0.012086707219908448,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.7820577231171169
SUB1_D,278828,20,20,20,1.0,0.8822248841579755,0.10238812715996466,0.16206505054005904,0.21696177721989346,0.05967692338009438,0.05489672667983442,0.05489672667983442,0.1145736500599288,0.03042010267340395,0.009242150311511465,0.041478929548041686,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.8387970733495246
FREQ1_D,278828,4,4,4,1.0,0.8014833517437273,0.1738951191028726,0.19747051857013312,0.22506081371160663,0.023575399467260533,0.027590295141473514,0.027590295141473514,0.05116569460873405,0.0173086060154244,0.007659559279847465,0.032683612764115355,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.7795661944707315
FREQ2_D,278828,4,4,3,1.0,0.9484807838524109,0.049620564792125364,0.08592226522142504,0.11580462875804781,0.03630170042929968,0.02988236353662277,0.02988236353662277,0.06618406396592244,0.009478423297657213,0.0003840924304618093,0.010095361475608348,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.6815590365925095
FREQ_ATND_SELF_HELP_D,278828,6,6,6,1.0,0.7449467054958613,0.10233914416386822,0.1496258223284808,0.2236104040047425,0.04728667816461257,0.07398458167626171,0.07398458167626171,0.12127125984087428,0.020152222641002745,0.023594131746280424,0.05383183929213735,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.5771456699021346
EMPLOY_D,111531,5,5,5,1.0,0.7859339555818562,0.11029402250798626,0.1244110117992517,0.1434452310342775,0.014116989291265439,0.01903421923502581,0.01903421923502581,0.03315120852629125,0.009917966474567991,0.0024149910945073486,0.015859279038570137,123.0,63235.0,struct_top6_l001,struct_dvD_top6_lambda001,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.759754613059229
DETNLF_D,111531,6,6,6,1.0,0.8911334068554931,0.05422813365718867,0.0885491088660421,0.11166153996713292,0.03432097520885343,0.02311243110109082,0.02311243110109082,0.05743340630994425,0.0068233329044247145,0.004622345885483759,0.011398776962190951,123.0,63235.0,struct_top6_l001,struct_dvD_top6_lambda001,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.7786053249956725
SUB1_D,111531,20,20,20,1.0,0.8844088190727242,0.10155859943039741,0.1644464150931296,0.19978844138330243,0.06288781566273219,0.03534202629017283,0.03534202629017283,0.09822984195290502,0.02285725133832036,0.003434680393817323,0.029144335559564517,123.0,63235.0,struct_top6_l001,struct_dvD_top6_lambda001,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8176366347748523
FREQ1_D,111531,4,4,4,1.0,0.8006025230653361,0.1739970118490584,0.19993781523322177,0.23108401404067386,0.02594080338416338,0.03114619880745209,0.03114619880745209,0.05708700219161547,0.01600634460265847,0.00895343471589967,0.029430838464216992,123.0,63235.0,struct_top6_l001,struct_dvD_top6_lambda001,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.777202660467258
FREQ2_D,111531,4,4,4,1.0,0.9511525943459666,0.04761080488075351,0.08400538101474707,0.09327690349608754,0.03639457613399356,0.009271522481340472,0.009271522481340472,0.04566609861533403,0.006772580886883867,0.0003824258574935118,0.007849269855152186,123.0,63235.0,struct_top6_l001,struct_dvD_top6_lambda001,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.9364417870581052
