summary_level,seed,fold,los,n,w_admission_mean,w_admission_std,w_discharge_mean,w_discharge_std,w_merged_mean,w_merged_std,dominant_stream
mean_across_folds,,,1,34001.0,0.2938458,0.263214,0.18505998,0.17253464,0.5210942,0.31818038,merged
mean_across_folds,,,2,8689.333333333334,0.18064733,0.20637934,0.1625383,0.17808254,0.6568144,0.28185233,merged
mean_across_folds,,,3,7384.333333333333,0.18132168,0.20228082,0.17642078,0.179461,0.6422575,0.27821106,merged
mean_across_folds,,,4,6720.333333333333,0.164364,0.183768,0.17706509,0.16997719,0.65857095,0.26189208,merged
mean_across_folds,,,5,6776.666666666667,0.16356951,0.18040639,0.18024848,0.16617672,0.656182,0.25487095,merged
mean_across_folds,,,6,4770.333333333333,0.17588882,0.19183564,0.19928633,0.18009062,0.6248248,0.26776657,merged
mean_across_folds,,,7,4465.666666666667,0.18159358,0.20176317,0.21896152,0.19260278,0.5994449,0.2796175,merged
mean_across_folds,,,8,3361.3333333333335,0.20466599,0.21495682,0.24675602,0.21019526,0.548578,0.28978217,merged
mean_across_folds,,,9,2243.6666666666665,0.19966006,0.21678138,0.24408884,0.21167207,0.5562511,0.2947831,merged
mean_across_folds,,,10,1812.3333333333333,0.19119631,0.21281974,0.24139827,0.21023172,0.56740546,0.29418245,merged
mean_across_folds,,,11,1555.0,0.19163944,0.21168652,0.24260448,0.21202038,0.5657561,0.294553,merged
mean_across_folds,,,12,1337.0,0.19627032,0.21800071,0.2416174,0.2122446,0.5621123,0.2975112,merged
mean_across_folds,,,13,1750.0,0.17831416,0.20505008,0.22297424,0.20184019,0.5987116,0.29146516,merged
mean_across_folds,,,14,2204.6666666666665,0.1749549,0.20300151,0.21876743,0.19939588,0.60627764,0.2874416,merged
mean_across_folds,,,15,2006.6666666666667,0.22082035,0.21950278,0.25938305,0.20733799,0.5197966,0.28769037,merged
mean_across_folds,,,16,1356.0,0.21337733,0.21925692,0.27151445,0.21909681,0.5151082,0.29325956,merged
mean_across_folds,,,17,1191.6666666666667,0.19859767,0.2129136,0.26174662,0.21549828,0.5396557,0.29276714,merged
mean_across_folds,,,18,1159.6666666666667,0.20365852,0.21848156,0.25223687,0.21276674,0.54410464,0.29400384,merged
mean_across_folds,,,19,1152.0,0.20215948,0.21681696,0.24995936,0.21091379,0.5478811,0.29374728,merged
mean_across_folds,,,20,1355.3333333333333,0.18335979,0.20172058,0.24278463,0.2043012,0.5738556,0.28385594,merged
mean_across_folds,,,21,2197.6666666666665,0.15969405,0.18709572,0.2949551,0.2531577,0.54535085,0.3001683,merged
mean_across_folds,,,22,1760.6666666666667,0.21533385,0.21307549,0.26650593,0.2060557,0.5181602,0.2797608,merged
