seed,fold,stream,mean_weight
1,0,w_admission,0.17057112
1,1,w_admission,0.17982182
1,2,w_admission,0.24993062
1,3,w_admission,0.19905205
1,4,w_admission,0.124073654
2,0,w_admission,0.30671024
2,1,w_admission,0.30436817
2,2,w_admission,0.11639967
2,3,w_admission,0.17546353
2,4,w_admission,0.27816185
3,0,w_admission,0.4057303
3,1,w_admission,0.18810412
3,2,w_admission,0.20134372
3,3,w_admission,0.27908218
3,4,w_admission,0.21150984
1,0,w_discharge,0.39452282
1,1,w_discharge,0.2491323
1,2,w_discharge,0.31900305
1,3,w_discharge,0.44234008
1,4,w_discharge,0.27850416
2,0,w_discharge,0.30845696
2,1,w_discharge,0.27654466
2,2,w_discharge,0.08931523
2,3,w_discharge,0.22289346
2,4,w_discharge,0.23147242
3,0,w_discharge,0.2525988
3,1,w_discharge,0.35403898
3,2,w_discharge,0.2535636
3,3,w_discharge,0.21608107
3,4,w_discharge,0.38959834
1,0,w_merged,0.43490604
1,1,w_merged,0.5710459
1,2,w_merged,0.43106633
1,3,w_merged,0.35860783
1,4,w_merged,0.5974222
2,0,w_merged,0.3848328
2,1,w_merged,0.41908717
2,2,w_merged,0.7942851
2,3,w_merged,0.601643
2,4,w_merged,0.49036574
3,0,w_merged,0.34167087
3,1,w_merged,0.4578569
3,2,w_merged,0.5450927
3,3,w_merged,0.50483674
3,4,w_merged,0.3988918
