los,mean_weight,std_across_folds,stream,n_total
1,0.2938458,0.13072415,w_admission,510015
1,0.18505998,0.14790717,w_discharge,510015
1,0.5210942,0.14590514,w_merged,510015
2,0.18064733,0.089191735,w_admission,130340
2,0.1625383,0.0952711,w_discharge,130340
2,0.6568144,0.12732038,w_merged,130340
3,0.18132168,0.08791047,w_admission,110765
3,0.17642078,0.09332742,w_discharge,110765
3,0.6422575,0.12676889,w_merged,110765
4,0.164364,0.08432592,w_admission,100805
4,0.17706509,0.09436219,w_discharge,100805
4,0.65857095,0.12507308,w_merged,100805
5,0.16356951,0.09068251,w_admission,101650
5,0.18024848,0.0961721,w_discharge,101650
5,0.656182,0.12889096,w_merged,101650
6,0.17588882,0.08815654,w_admission,71555
6,0.19928633,0.09661896,w_discharge,71555
6,0.6248248,0.1256416,w_merged,71555
7,0.18159358,0.09109783,w_admission,66985
7,0.21896152,0.10376841,w_discharge,66985
7,0.5994449,0.13216104,w_merged,66985
8,0.20466599,0.080855876,w_admission,50420
8,0.24675602,0.097576104,w_discharge,50420
8,0.548578,0.11811473,w_merged,50420
9,0.19966006,0.07918029,w_admission,33655
9,0.24408884,0.101648845,w_discharge,33655
9,0.5562511,0.11928493,w_merged,33655
10,0.19119631,0.07559551,w_admission,27185
10,0.24139827,0.099926144,w_discharge,27185
10,0.56740546,0.11688378,w_merged,27185
11,0.19163944,0.07575052,w_admission,23325
11,0.24260448,0.09493675,w_discharge,23325
11,0.5657561,0.113597095,w_merged,23325
12,0.19627032,0.07958799,w_admission,20055
12,0.2416174,0.095892094,w_discharge,20055
12,0.5621123,0.11398614,w_merged,20055
13,0.17831416,0.077451214,w_admission,26250
13,0.22297424,0.084545135,w_discharge,26250
13,0.5987116,0.11173052,w_merged,26250
14,0.1749549,0.075219706,w_admission,33070
14,0.21876743,0.07875617,w_discharge,33070
14,0.60627764,0.10717267,w_merged,33070
15,0.22082035,0.077870496,w_admission,30100
15,0.25938305,0.0944651,w_discharge,30100
15,0.5197966,0.11272996,w_merged,30100
16,0.21337733,0.07784107,w_admission,20340
16,0.27151445,0.09696705,w_discharge,20340
16,0.5151082,0.116583504,w_merged,20340
17,0.19859767,0.07195578,w_admission,17875
17,0.26174662,0.09484968,w_discharge,17875
17,0.5396557,0.11192514,w_merged,17875
18,0.20365852,0.07573123,w_admission,17395
18,0.25223687,0.09051713,w_discharge,17395
18,0.54410464,0.10998054,w_merged,17395
19,0.20215948,0.07175927,w_admission,17280
19,0.24995936,0.08971423,w_discharge,17280
19,0.5478811,0.11085034,w_merged,17280
20,0.18335979,0.06746998,w_admission,20330
20,0.24278463,0.083991155,w_discharge,20330
20,0.5738556,0.109492674,w_merged,20330
21,0.15969405,0.06286962,w_admission,32965
21,0.2949551,0.0929563,w_discharge,32965
21,0.54535085,0.11662494,w_merged,32965
22,0.21533385,0.074227884,w_admission,26410
22,0.26650593,0.08585363,w_discharge,26410
22,0.5181602,0.11097216,w_merged,26410
23,0.20868224,0.079291895,w_admission,20205
23,0.2621273,0.085861474,w_discharge,20205
23,0.5291904,0.1120375,w_merged,20205
24,0.19508979,0.07279095,w_admission,17535
24,0.2551159,0.078687295,w_discharge,17535
24,0.5497943,0.10803789,w_merged,17535
25,0.19173142,0.074933335,w_admission,17655
25,0.25007427,0.07791611,w_discharge,17655
25,0.5581943,0.10892014,w_merged,17655
26,0.1938612,0.0838998,w_admission,18175
26,0.24414866,0.07609326,w_discharge,18175
26,0.56199014,0.110289894,w_merged,18175
27,0.16041747,0.0820979,w_admission,28740
27,0.22684754,0.073658265,w_discharge,28740
27,0.612735,0.1167492,w_merged,28740
28,0.14264457,0.091995776,w_admission,56220
28,0.20824711,0.07784644,w_discharge,56220
28,0.6491083,0.12902932,w_merged,56220
29,0.22439551,0.09546488,w_admission,36555
29,0.2629199,0.07984442,w_discharge,36555
29,0.5126846,0.12629218,w_merged,36555
30,0.20313269,0.08862256,w_admission,26920
30,0.26923436,0.07983063,w_discharge,26920
30,0.52763295,0.12561458,w_merged,26920
31,0.22091743,0.07605642,w_admission,195795
31,0.30277506,0.083811,w_discharge,195795
31,0.47630748,0.11876891,w_merged,195795
32,0.23151688,0.076291874,w_admission,148700
32,0.31986603,0.08222503,w_discharge,148700
32,0.44861707,0.12288478,w_merged,148700
33,0.23048624,0.07483714,w_admission,245790
33,0.33567253,0.08027153,w_discharge,245790
33,0.43384123,0.13054323,w_merged,245790
34,0.21888176,0.07284987,w_admission,204875
34,0.39260542,0.10463701,w_discharge,204875
34,0.38851282,0.1529013,w_merged,204875
35,0.24384572,0.07993915,w_admission,198250
35,0.3825878,0.091549754,w_discharge,198250
35,0.37356654,0.14733116,w_merged,198250
36,0.25546044,0.09126514,w_admission,243030
36,0.42874333,0.111712344,w_discharge,243030
36,0.31579626,0.16629921,w_merged,243030
37,0.2618306,0.0969525,w_admission,189600
37,0.48336923,0.13363634,w_discharge,189600
37,0.25480017,0.17982553,w_merged,189600
