idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
19,ARRESTS_D,2.437941551208496,0.0,2.437941551208496,2.437941551208496,0.0,1
52,HERFLG,1.8058058023452759,0.0,1.8058058023452759,1.8058058023452759,0.0,2
31,SUB2_D,1.6559289693832397,0.0,1.6559289693832397,1.6559289693832397,0.0,3
68,REGION,1.4995368719100952,0.0,1.4995368719100952,1.4995368719100952,0.0,4
39,FREQ1_D,0.8569621443748474,0.0,0.8569621443748474,0.8569621443748474,0.0,5
71,CBSA2020,0.7809416055679321,0.0,0.7809416055679321,0.7809416055679321,0.0,6
48,FREQ_ATND_SELF_HELP_D,0.7344704866409302,0.0,0.7344704866409302,0.7344704866409302,0.0,7
17,EMPLOY_D,0.7011191844940186,0.0,0.7011191844940186,0.7011191844940186,0.0,8
35,ROUTE3,0.6945928931236267,0.0,0.6945928931236267,0.6945928931236267,0.0,9
55,PCPFLG,0.44452232122421265,0.0,0.44452232122421265,0.44452232122421265,0.0,10
34,ROUTE2,0.38890260457992554,0.0,0.38890260457992554,0.38890260457992554,0.0,11
18,LIVARAG_D,0.3713822364807129,0.0,0.3713822364807129,0.3713822364807129,0.0,12
53,METHFLG,0.3430517017841339,0.0,0.3430517017841339,0.3430517017841339,0.0,13
20,DSMCRIT,0.32458823919296265,0.0,0.32458823919296265,0.32458823919296265,0.0,14
46,PRIMPAY,0.29478132724761963,0.0,0.29478132724761963,0.29478132724761963,0.0,15
59,STIMFLG,0.2587498128414154,0.0,0.2587498128414154,0.2587498128414154,0.0,16
9,METHUSE,0.25820788741111755,0.0,0.25820788741111755,0.25820788741111755,0.0,17
0,STFIPS,0.24926422536373138,0.0,0.24926422536373138,0.24926422536373138,0.0,18
45,HLTHINS,0.2026941478252411,0.0,0.2026941478252411,0.2026941478252411,0.0,19
65,OTCFLG,0.17038722336292267,0.0,0.17038722336292267,0.17038722336292267,0.0,20
60,BENZFLG,0.16339929401874542,0.0,0.16339929401874542,0.16339929401874542,0.0,21
32,SUB3_D,0.1367383748292923,0.0,0.1367383748292923,0.1367383748292923,0.0,22
54,OPSYNFLG,0.0817396268248558,0.0,0.0817396268248558,0.0817396268248558,0.0,23
12,GENDER,0.08167994767427444,0.0,0.08167994767427444,0.08167994767427444,0.0,24
37,FREQ2,0.08064570277929306,0.0,0.08064570277929306,0.08064570277929306,0.0,25
