feature,kind,index,baseline_auc,perm_auc_mean,importance_mean,importance_std,num_repeats
LOS,los,,0.9532227882939108,0.8648578875441855,0.08836490074972528,0.0009638190750298376,5
SERVICES,node,3.0,0.9532227882939108,0.8711369746068671,0.08208581368704367,0.0010393207294298239,5
STFIPS,node,0.0,0.9532227882939108,0.9095825085079076,0.04364027978600329,0.0015166754727425878,5
CBSA2020,node,71.0,0.9532227882939108,0.9161189311333345,0.037103857160576424,0.0004037746257771116,5
FREQ1_D,node,39.0,0.9532227882939108,0.927709616375447,0.025513171918463896,0.0007818145693929215,5
FREQ_ATND_SELF_HELP_D,node,48.0,0.9532227882939108,0.9461852271019853,0.007037561191925601,0.0003010609418496824,5
LIVARAG_D,node,18.0,0.9532227882939108,0.9470356550572777,0.00618713323663318,0.000505081528997466,5
SUB1_D,node,30.0,0.9532227882939108,0.9478427731002231,0.005380015193687693,0.0003349762226954744,5
PSOURCE,node,5.0,0.9532227882939108,0.949818797198019,0.003403991095891823,0.00028520108458532134,5
METHUSE,node,9.0,0.9532227882939108,0.9498991580180084,0.003323630275902456,0.000233527082642337,5
DIVISION,node,67.0,0.9532227882939108,0.9499910813798745,0.003231706914036314,0.00012786601783977179,5
DSMCRIT,node,20.0,0.9532227882939108,0.9500218880533252,0.0032009002405857024,0.00017160209951276264,5
FRSTUSE1,node,42.0,0.9532227882939108,0.9500587764853293,0.0031640118085815906,0.0003208612343146847,5
PRIMPAY,node,46.0,0.9532227882939108,0.9501234251725649,0.003099363121345977,0.0001990046557857536,5
DETCRIM,node,4.0,0.9532227882939108,0.9501472961672034,0.0030754921267074574,0.00035645551519948945,5
REGION,node,68.0,0.9532227882939108,0.9504694844348893,0.0027533038590216163,0.00015934715112768386,5
ARRESTS_D,node,19.0,0.9532227882939108,0.9508641349909638,0.0023586533029469558,0.0002102542800423918,5
EMPLOY_D,node,17.0,0.9532227882939108,0.9509188975895004,0.0023038907044104382,0.00028045484167012294,5
DAYWAIT,node,15.0,0.9532227882939108,0.9509612723437698,0.0022615159501410353,0.00017385101704921077,5
PSYPROB,node,10.0,0.9532227882939108,0.951384681087832,0.0018381072060788429,0.00023093581956609341,5
SUB1,node,27.0,0.9532227882939108,0.9516634920527073,0.0015592962412036115,7.824620084370531e-05,5
HLTHINS,node,45.0,0.9532227882939108,0.9520179603524731,0.001204827941437614,9.068280677205188e-05,5
FREQ1,node,36.0,0.9532227882939108,0.9520436942780105,0.0011790940159003283,0.00014918260365624455,5
LIVARAG,node,14.0,0.9532227882939108,0.9520813803176938,0.0011414079762170238,0.00015034892837458225,5
ARRESTS,node,7.0,0.9532227882939108,0.95226015521667,0.0009626330772408931,0.00021865542231032508,5
FREQ_ATND_SELF_HELP,node,47.0,0.9532227882939108,0.9522975393840024,0.0009252489099083938,0.00013895148239593372,5
DETNLF,node,24.0,0.9532227882939108,0.9523538787347565,0.000868909559154396,0.000107948272869322,5
SERVICES_D,node,16.0,0.9532227882939108,0.9524361781845215,0.0007866101093892963,0.00011844618544152543,5
EDUC,node,1.0,0.9532227882939108,0.9524402982343736,0.0007824900595373218,5.872854947457851e-05,5
IDU,node,69.0,0.9532227882939108,0.952525392080487,0.0006973962134239509,0.00014062033617570283,5
MARSTAT,node,2.0,0.9532227882939108,0.952529384734668,0.0006934035592429666,8.704562206269132e-05,5
NOPRIOR,node,6.0,0.9532227882939108,0.9525365539722099,0.0006862343217009182,5.149831144249036e-05,5
SUB3_D,node,32.0,0.9532227882939108,0.9526263328402813,0.0005964554536295186,0.00015583711409157446,5
FREQ3_D,node,41.0,0.9532227882939108,0.9526448402925404,0.0005779480013704763,0.000156401968842676,5
PRIMINC,node,26.0,0.9532227882939108,0.9526767150586816,0.0005460732352293052,0.00012151752419821356,5
ROUTE1,node,33.0,0.9532227882939108,0.9526870562637996,0.0005357320301112356,9.565819118504986e-05,5
SUB2,node,28.0,0.9532227882939108,0.9527047134884284,0.000518074805482427,0.00010835153965469152,5
EMPLOY,node,8.0,0.9532227882939108,0.9527078688391777,0.0005149194547331648,0.00010065073676775101,5
SUB2_D,node,31.0,0.9532227882939108,0.9527861350158524,0.0004366532780584853,4.2002744901043485e-05,5
RACE,node,22.0,0.9532227882939108,0.952801359721691,0.00042142857221982855,8.640036139922358e-05,5
AGE,node,21.0,0.9532227882939108,0.9528232745465702,0.00039951374734061853,8.420514818468656e-05,5
ALCDRUG,node,70.0,0.9532227882939108,0.952835532225695,0.0003872560682157911,0.0001594411826188056,5
DETNLF_D,node,25.0,0.9532227882939108,0.9528693742394803,0.00035341405443070075,8.222303780877686e-05,5
VET,node,13.0,0.9532227882939108,0.952887493965784,0.0003352943281268006,4.50840124750688e-05,5
